user_input,Approved symbol,Approved name,Previous symbols,Alias symbols,matching_status
ABCB4,ABCB4,ATP binding cassette subfamily B member 4,"PGY3, MDR3","MDR2, PFIC-3, GBD1",matched
ABCB5,ABCB5,ATP binding cassette subfamily B member 5,,"EST422562, ABCB5beta, ABCB5alpha",matched
ABCB6,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group),,"EST45597, umat, MTABC3",matched
ABCB7,ABCB7,ATP binding cassette subfamily B member 7,ABC7,"EST140535, Atm1p, ASAT",matched
ABCB8,ABCB8,ATP binding cassette subfamily B member 8,,"EST328128, M-ABC1, MABC1, MITOSUR",matched
ABCB9,ABCB9,ATP binding cassette subfamily B member 9,,EST122234,matched
ABCB10,ABCB10,ATP binding cassette subfamily B member 10,,"EST20237, M-ABC2, MTABC2",matched
ABCB11,ABCB11,ATP binding cassette subfamily B member 11,"BSEP, PFIC2","ABC16, SPGP, PFIC-2, PGY4",matched
ABCC1,ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),"MRP, MRP1",GS-X,matched
ABCC2,ABCC2,ATP binding cassette subfamily C member 2,CMOAT,"DJS, MRP2, cMRP",matched
ABCC3,ABCC3,ATP binding cassette subfamily C member 3,,"MRP3, cMOAT2, EST90757, MLP2, MOAT-D",matched
ABCC4,ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group),,"MRP4, EST170205, MOAT-B, MOATB",matched
ABCC5,ABCC5,ATP binding cassette subfamily C member 5,,"MRP5, SMRP, EST277145, MOAT-C",matched
ABCC6,ABCC6,ATP binding cassette subfamily C member 6,"ARA, PXE","MRP6, EST349056, MLP1, URG7",matched
ABCC8,ABCC8,ATP binding cassette subfamily C member 8,"SUR, HRINS","HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2",matched
ABCC9,ABCC9,ATP binding cassette subfamily C member 9,,"SUR2, CMD1O",matched
ABCC10,ABCC10,ATP binding cassette subfamily C member 10,,"EST182763, MRP7, SIMRP7",matched
ABCC11,ABCC11,ATP binding cassette subfamily C member 11,,MRP8,matched
ABCC12,ABCC12,ATP binding cassette subfamily C member 12,,MRP9,matched
ABCD1,ABCD1,ATP binding cassette subfamily D member 1,ALD,"AMN, ALDP, adrenoleukodystrophy",matched
ABCD2,ABCD2,ATP binding cassette subfamily D member 2,ALDL1,"ALDR, ALDRP",matched
ABCD3,ABCD3,ATP binding cassette subfamily D member 3,PXMP1,"PMP70, ZWS2",matched
ABCD4,ABCD4,ATP binding cassette subfamily D member 4,PXMP1L,"PMP69, P70R, EST352188",matched
ABCE1,ABCE1,ATP binding cassette subfamily E member 1,"RNASEL1, RNASELI, RNS4I","RLI, OABP, RLI1",matched
ABCF1,ABCF1,ATP binding cassette subfamily F member 1,ABC50,EST123147,matched
ABCF2,ABCF2,ATP binding cassette subfamily F member 2,,"EST133090, ABC28, M-ABC1, HUSSY-18",matched
ABCF3,ABCF3,ATP binding cassette subfamily F member 3,,EST201864,matched
ABCG1,ABCG1,ATP binding cassette subfamily G member 1,,ABC8,matched
ABCG2,ABCG2,ATP binding cassette subfamily G member 2 (JR blood group),,"EST157481, MXR, BCRP, ABCP, CD338",matched
ABCG4,ABCG4,ATP binding cassette subfamily G member 4,,WHITE2,matched
ABCG5,ABCG5,ATP binding cassette subfamily G member 5,,STSL,matched
ABCG8,ABCG8,ATP binding cassette subfamily G member 8,,GBD4,matched
ABHD1,ABHD1,abhydrolase domain containing 1,,"LABH1, FLJ36128",matched
ABHD2,ABHD2,"abhydrolase domain containing 2, acylglycerol lipase",,LABH2,matched
ABHD3,ABHD3,"abhydrolase domain containing 3, phospholipase",,LABH3,matched
ABHD4,ABHD4,"abhydrolase domain containing 4, N-acyl phospholipase B",,FLJ12816,matched
ABHD5,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",,"CGI-58, NCIE2",matched
ABHD6,ABHD6,"abhydrolase domain containing 6, acylglycerol lipase",,,matched
ABHD8,ABHD8,abhydrolase domain containing 8,,"FLJ11743, MGC14280, MGC2512",matched
ABHD10,ABHD10,"abhydrolase domain containing 10, depalmitoylase",,FLJ11342,matched
ABHD11,ABHD11,abhydrolase domain containing 11,WBSCR21,PP1226,matched
ABHD12,ABHD12,"abhydrolase domain containing 12, lysophospholipase",C20orf22,"DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A",matched
ABHD12B,ABHD12B,abhydrolase domain containing 12B,C14orf29,BEM46L3,matched
ABHD13,ABHD13,abhydrolase domain containing 13,C13orf6,"bA153I24.2, FLJ14906, BEM46L1",matched
ABHD14A,ABHD14A,abhydrolase domain containing 14A,,"DKFZP564O243, DORZ1",matched
ABHD14B,ABHD14B,abhydrolase domain containing 14B,,"MGC15429, CIB",matched
ABHD15,ABHD15,abhydrolase domain containing 15,,,matched
ABHD16A,ABHD16A,"abhydrolase domain containing 16A, phospholipase",BAT5,"NG26, D6S82E",matched
ABHD16B,ABHD16B,abhydrolase domain containing 16B,C20orf135,dJ591C20.1,matched
ABHD17A,ABHD17A,"abhydrolase domain containing 17A, depalmitoylase","C19orf27, FAM108A1",MGC5244,matched
ABHD17B,ABHD17B,"abhydrolase domain containing 17B, depalmitoylase","C9orf77, FAM108B1",CGI-67,matched
ABHD17C,ABHD17C,"abhydrolase domain containing 17C, depalmitoylase",FAM108C1,,matched
ABHD18,ABHD18,abhydrolase domain containing 18,C4orf29,FLJ21106,matched
ABI1,ABI1,abl interactor 1,SSH3BP1,"E3B1, ABI-1",matched
ABI2,ABI2,abl interactor 2,,"ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2",matched
ABI3,ABI3,ABI family member 3,,"NESH, SSH3BP3",matched
ABI3BP,ABI3BP,ABI family member 3 binding protein,,"NESHBP, DKFZP586L2024, TARSH",matched
ABITRAM,ABITRAM,actin binding transcription modulator,"C9orf6, FAM206A","CG-8, FLJ20457, Simiate",matched
ABL1,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL,"JTK7, c-ABL, p150",matched
ABL2,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ABLL,ARG,matched
ABLIM1,ABLIM1,actin binding LIM protein 1,"LIMAB1, ABLIM","abLIM, limatin",matched
ABLIM2,ABLIM2,actin binding LIM protein family member 2,,KIAA1808,matched
ABLIM3,ABLIM3,actin binding LIM protein family member 3,,KIAA0843,matched
ABO,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",,"A3GALNT, A3GALT1",matched
ABR,ABR,ABR activator of RhoGEF and GTPase,,MDB,matched
ABRA,ABRA,actin binding Rho activating protein,,STARS,matched
ABRACL,ABRACL,ABRA C-terminal like,C6orf115,"PRO2013, HSPC280, Costars",matched
ABRAXAS1,ABRAXAS1,"abraxas 1, BRCA1 A complex subunit","CCDC98, FAM175A","FLJ13614, ABRA1, ABRAXAS",matched
ABRAXAS2,ABRAXAS2,"abraxas 2, BRISC complex subunit","KIAA0157, FAM175B","Em:AC068896.4, ABRO1",matched
ABT1,ABT1,activator of basal transcription 1,,Esf2,matched
ABTB1,ABTB1,ankyrin repeat and BTB domain containing 1,,"BPOZ, EF1ABP, Btb3, BTBD21, BPOZ-2",matched
ABTB2,ABTB2,ankyrin repeat and BTB domain containing 2,,"DKFZP586C1619, BTBD22, ABTB2A",matched
ABTB3,ABTB3,ankyrin repeat and BTB domain containing 3,BTBD11,"FLJ33957, ABTB2B",matched
ACAA1,ACAA1,acetyl-CoA acyltransferase 1,,Lnc-Myd88,matched
ACAA2,ACAA2,acetyl-CoA acyltransferase 2,,DSAEC,matched
ACACA,ACACA,acetyl-CoA carboxylase alpha,"ACAC, ACC","ACC1, ACC-alpha, ACCA, ACCalpha, ACACalpha, Acac1, hACC1",matched
ACACB,ACACB,acetyl-CoA carboxylase beta,,"HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta",matched
ACAD8,ACAD8,acyl-CoA dehydrogenase family member 8,,,matched
ACAD9,ACAD9,acyl-CoA dehydrogenase family member 9,,"NPD002, MGC14452",matched
ACAD10,ACAD10,acyl-CoA dehydrogenase family member 10,,MGC5601,matched
ACAD11,ACAD11,acyl-CoA dehydrogenase family member 11,,FLJ12592,matched
ACADL,ACADL,acyl-CoA dehydrogenase long chain,,"LCAD, ACAD4",matched
ACADM,ACADM,acyl-CoA dehydrogenase medium chain,,"MCAD, MCADH, ACAD1",matched
ACADS,ACADS,acyl-CoA dehydrogenase short chain,,"SCAD, ACAD3",matched
ACADSB,ACADSB,acyl-CoA dehydrogenase short/branched chain,,"SBCAD, ACAD7",matched
ACADVL,ACADVL,acyl-CoA dehydrogenase very long chain,,"VLCAD, LCACD, ACAD6",matched
ACAN,ACAN,aggrecan,"MSK16, CSPG1, AGC1",CSPGCP,matched
ACAP1,ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",CENTB1,KIAA0050,matched
ACAP2,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",CENTB2,"KIAA0041, CNT-B2",matched
ACAP3,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",CENTB5,KIAA1716,matched
ACAT1,ACAT1,acetyl-CoA acetyltransferase 1,ACAT,THIL,matched
ACAT2,ACAT2,acetyl-CoA acetyltransferase 2,,,matched
ACBD3,ACBD3,acyl-CoA binding domain containing 3,"GOLPH1, GOCAP1","GCP60, PAP7",matched
ACBD4,ACBD4,acyl-CoA binding domain containing 4,,FLJ13322,matched
ACBD5,ACBD5,acyl-CoA binding domain containing 5,,"DKFZp434A2417, KIAA1996",matched
ACBD6,ACBD6,acyl-CoA binding domain containing 6,,MGC2404,matched
ACBD7,ACBD7,acyl-CoA binding domain containing 7,,"FLJ38219, bA455B2.2",matched
ACCS,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),,"PHACS, ACS",matched
ACCSL,ACCSL,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,,,matched
ACD,ACD,ACD shelterin complex subunit and telomerase recruitment factor,,"Ptop, Pip1, Tpp1, Tint1",matched
ACE,ACE,angiotensin I converting enzyme,DCP1,"ACE1, CD143",matched
ACE2,ACE2,angiotensin converting enzyme 2,,ACEH,matched
ACER1,ACER1,alkaline ceramidase 1,ASAH3,,matched
ACER2,ACER2,alkaline ceramidase 2,ASAH3L,"FLJ41587, ALKCDase2",matched
ACER3,ACER3,alkaline ceramidase 3,PHCA,"FLJ11238, APHC",matched
ACHE,ACHE,acetylcholinesterase (Yt blood group),YT,,matched
ACIN1,ACIN1,apoptotic chromatin condensation inducer 1,ACINUS,"KIAA0670, fSAP152",matched
ACKR1,ACKR1,atypical chemokine receptor 1 (Duffy blood group),"FY, DARC","CCBP1, GPD, Dfy, CD234",matched
ACKR2,ACKR2,atypical chemokine receptor 2,"CMKBR9, CCBP2","CCR10, D6, CCR9",matched
ACKR3,ACKR3,atypical chemokine receptor 3,"CMKOR1, CXCR7","RDC1, GPR159",matched
ACKR4,ACKR4,atypical chemokine receptor 4,CCRL1,"CCR11, CCBP2, VSHK1, CCX-CKR, PPR1",matched
ACLY,ACLY,ATP citrate lyase,,"ATPCL, CLATP, ACL",matched
ACMSD,ACMSD,aminocarboxymuconate semialdehyde decarboxylase,,,matched
ACO1,ACO1,aconitase 1,IREB1,"IRP1, IREBP",matched
ACO2,ACO2,aconitase 2,,ACONM,matched
ACOD1,ACOD1,aconitate decarboxylase 1,IRG1,CAD,matched
ACOT1,ACOT1,acyl-CoA thioesterase 1,,"ACH2, CTE-1, LACH2",matched
ACOT2,ACOT2,acyl-CoA thioesterase 2,,"Mte1, ZAP128",matched
ACOT4,ACOT4,acyl-CoA thioesterase 4,,"FLJ31235, PTE-Ib, PTE2B",matched
ACOT6,ACOT6,acyl-CoA thioesterase 6,C14orf42,,matched
ACOT7,ACOT7,acyl-CoA thioesterase 7,,"BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH",matched
ACOT8,ACOT8,acyl-CoA thioesterase 8,PTE1,"hACTE-III, hTE, PTE-2, NAP1",matched
ACOT9,ACOT9,acyl-CoA thioesterase 9,,"CGI-16, MT-ACT48, ACATE2",matched
ACOT11,ACOT11,acyl-CoA thioesterase 11,THEA,"STARD14, BFIT, KIAA0707, BFIT1, THEM1",matched
ACOT12,ACOT12,acyl-CoA thioesterase 12,,"Cach, THEAL, STARD15",matched
ACOT13,ACOT13,acyl-CoA thioesterase 13,THEM2,HT012,matched
ACOX1,ACOX1,acyl-CoA oxidase 1,,PALMCOX,matched
ACOX2,ACOX2,acyl-CoA oxidase 2,,"BRCACOX, BRCOX, THCCox",matched
ACOX3,ACOX3,"acyl-CoA oxidase 3, pristanoyl",,,matched
ACOXL,ACOXL,acyl-CoA oxidase like,,"FLJ11042, ACOX4",matched
ACP1,ACP1,acid phosphatase 1,,"HAAP, LMW-PTP, LMWPTP",matched
ACP2,ACP2,"acid phosphatase 2, lysosomal",,LAP,matched
ACP3,ACP3,acid phosphatase 3,ACPP,"ACP-3, PAP, TM-PAP",matched
ACP4,ACP4,acid phosphatase 4,ACPT,,matched
ACP5,ACP5,"acid phosphatase 5, tartrate resistant",,"TRAP, HPAP, TRAcP",matched
ACP6,ACP6,"acid phosphatase 6, lysophosphatidic",,"LPAP, ACPL1",matched
ACP7,ACP7,"acid phosphatase 7, tartrate resistant (putative)",,"FLJ16165, PAPL1, PAPL",matched
ACR,ACR,acrosin,,,matched
ACRBP,ACRBP,acrosin binding protein,,"SP32, OY-TES-1, CT23",matched
ACRV1,ACRV1,acrosomal vesicle protein 1,,"SPACA2, SP-10, D11S4365",matched
ACSBG1,ACSBG1,acyl-CoA synthetase bubblegum family member 1,,"BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG",matched
ACSBG2,ACSBG2,acyl-CoA synthetase bubblegum family member 2,,"BGR, PRTD-NY3, DKFZp434K1635",matched
ACSF2,ACSF2,acyl-CoA synthetase family member 2,,"FLJ20920, ACSMW",matched
ACSF3,ACSF3,acyl-CoA synthetase family member 3,,,matched
ACSL1,ACSL1,acyl-CoA synthetase long chain family member 1,FACL2,"LACS2, LACS, ACS1, LACS1, FACL1",matched
ACSL3,ACSL3,acyl-CoA synthetase long chain family member 3,FACL3,"ACS3, PRO2194",matched
ACSL4,ACSL4,acyl-CoA synthetase long chain family member 4,"FACL4, MRX63, MRX68","ACS4, LACS4",matched
ACSL5,ACSL5,acyl-CoA synthetase long chain family member 5,FACL5,"ACS5, ACS2",matched
ACSL6,ACSL6,acyl-CoA synthetase long chain family member 6,FACL6,"KIAA0837, ACS2, LACS5, LACS2",matched
ACSM1,ACSM1,acyl-CoA synthetase medium chain family member 1,BUCS1,MACS1,matched
ACSM2A,ACSM2A,acyl-CoA synthetase medium chain family member 2A,ACSM2,"A-923A4.1, MGC150530",matched
ACSM2B,ACSM2B,acyl-CoA synthetase medium chain family member 2B,ACSM2,"HXMA, HYST1046",matched
ACSM3,ACSM3,acyl-CoA synthetase medium chain family member 3,SAH,SA,matched
ACSM4,ACSM4,acyl-CoA synthetase medium chain family member 4,,,matched
ACSM5,ACSM5,acyl-CoA synthetase medium chain family member 5,,FLJ20581,matched
ACSM6,ACSM6,acyl-CoA synthetase medium chain family member 6,C10orf129,bA310E22.3,matched
ACSS1,ACSS1,acyl-CoA synthetase short chain family member 1,ACAS2L,"dJ568C11.3, AceCS2L, MGC33843",matched
ACSS2,ACSS2,acyl-CoA synthetase short chain family member 2,ACAS2,"ACS, ACSA, AceCS, dJ1161H23.1",matched
ACSS3,ACSS3,acyl-CoA synthetase short chain family member 3,,FLJ21963,matched
ACTA1,ACTA1,"actin alpha 1, skeletal muscle",ACTA,NEM3,matched
ACTA2,ACTA2,"actin alpha 2, smooth muscle",,ACTSA,matched
ACTB,ACTB,actin beta,,,matched
ACTBL2,ACTBL2,actin beta like 2,,DKFZp686D0972,matched
ACTC1,ACTC1,actin alpha cardiac muscle 1,ACTC,CMD1R,matched
ACTG1,ACTG1,actin gamma 1,"ACTG, DFNA20, DFNA26",,matched
ACTG2,ACTG2,"actin gamma 2, smooth muscle","ACTL3, ACTA3",ACTSG,matched
ACTL6A,ACTL6A,actin like 6A,,"Actl6, BAF53A, Arp4, Baf53a, INO80K, SMARCN1",matched
ACTL6B,ACTL6B,actin like 6B,ACTL6,"BAF53B, SMARCN2",matched
ACTL7A,ACTL7A,actin like 7A,,,matched
ACTL7B,ACTL7B,actin like 7B,,Tact1,matched
ACTL8,ACTL8,actin like 8,,CT57,matched
ACTL9,ACTL9,actin like 9,,MGC33407,matched
ACTL10,ACTL10,actin like 10,C20orf134,,matched
ACTMAP,ACTMAP,actin maturation protease,C19orf54,FLJ41131,matched
ACTN1,ACTN1,actinin alpha 1,,,matched
ACTN2,ACTN2,actinin alpha 2,,,matched
ACTN3,ACTN3,actinin alpha 3,,,matched
ACTN4,ACTN4,actinin alpha 4,FSGS1,,matched
ACTR1A,ACTR1A,actin related protein 1A,,"ARP1, Arp1A",matched
ACTR1B,ACTR1B,actin related protein 1B,CTRN2,Arp1B,matched
ACTR2,ACTR2,actin related protein 2,,ARP2,matched
ACTR3,ACTR3,actin related protein 3,,ARP3,matched
ACTR3B,ACTR3B,actin related protein 3B,,"ARP11, ARP3beta",matched
ACTR3C,ACTR3C,actin related protein 3C,,ARP11,matched
ACTR5,ACTR5,actin related protein 5,,"FLJ12785, Arp5, INO80M",matched
ACTR6,ACTR6,actin related protein 6,,"ARP6, FLJ13433",matched
ACTR8,ACTR8,actin related protein 8,,"INO80N, ARP8",matched
ACTR10,ACTR10,actin related protein 10,,"HARP11, ACTR11, Arp11, Arp10",matched
ACTRT1,ACTRT1,actin related protein T1,,"AIP1, KIAA0705, ARIP1, Arp-T1",matched
ACTRT2,ACTRT2,actin related protein T2,,"Arp-T2, ARPM2, FLJ25424",matched
ACTRT3,ACTRT3,actin related protein T3,,ARPM1,matched
ACVR1,ACVR1,activin A receptor type 1,ACVRLK2,"SKR1, ALK2, ACVR1A",matched
ACVR1B,ACVR1B,activin A receptor type 1B,ACVRLK4,"ALK4, SKR2, ActRIB",matched
ACVR1C,ACVR1C,activin A receptor type 1C,,"ALK7, ACVRLK7",matched
ACVR2A,ACVR2A,activin A receptor type 2A,ACVR2,ACTRII,matched
ACVR2B,ACVR2B,activin A receptor type 2B,,ActR-IIB,matched
ACVRL1,ACVRL1,activin A receptor like type 1,"ACVRLK1, ORW2","HHT2, ALK1, HHT",matched
ACY1,ACY1,aminoacylase 1,,,matched
ACY3,ACY3,aminoacylase 3,,"HCBP1, MGC9740, ACY-3, ASPA2",matched
ACYP1,ACYP1,acylphosphatase 1,,,matched
ACYP2,ACYP2,acylphosphatase 2,,,matched
ADA,ADA,adenosine deaminase,,ADA1,matched
ADA2,ADA2,adenosine deaminase 2,"IDGFL, CECR1",ADGF,matched
ADAD1,ADAD1,adenosine deaminase domain containing 1,,Tenr,matched
ADAD2,ADAD2,adenosine deaminase domain containing 2,,"TENRL, FLJ00337",matched
ADAM2,ADAM2,ADAM metallopeptidase domain 2,FTNB,"PH-30b, PH30, CT15",matched
ADAM7,ADAM7,ADAM metallopeptidase domain 7,,"GP-83, EAPI",matched
ADAM8,ADAM8,ADAM metallopeptidase domain 8,,"CD156, MS2, CD156A",matched
ADAM9,ADAM9,ADAM metallopeptidase domain 9,CORD9,"MDC9, KIAA0021, MCMP, Mltng",matched
ADAM10,ADAM10,ADAM metallopeptidase domain 10,,"kuz, MADM, HsT18717, CD156C",matched
ADAM11,ADAM11,ADAM metallopeptidase domain 11,MDC,,matched
ADAM12,ADAM12,ADAM metallopeptidase domain 12,,"MCMPMltna, MLTN",matched
ADAM15,ADAM15,ADAM metallopeptidase domain 15,,MDC15,matched
ADAM17,ADAM17,ADAM metallopeptidase domain 17,TACE,"cSVP, CD156B",matched
ADAM18,ADAM18,ADAM metallopeptidase domain 18,,"tMDCIII, ADAM27",matched
ADAM19,ADAM19,ADAM metallopeptidase domain 19,,MLTNB,matched
ADAM20,ADAM20,ADAM metallopeptidase domain 20,,,matched
ADAM21,ADAM21,ADAM metallopeptidase domain 21,,ADAM31,matched
ADAM22,ADAM22,ADAM metallopeptidase domain 22,,MDC2,matched
ADAM23,ADAM23,ADAM metallopeptidase domain 23,,MDC3,matched
ADAM28,ADAM28,ADAM metallopeptidase domain 28,,"eMDCII, MDC-Lm, MDC-Ls, ADAM23",matched
ADAM29,ADAM29,ADAM metallopeptidase domain 29,,"svph1, CT73",matched
ADAM30,ADAM30,ADAM metallopeptidase domain 30,,svph4,matched
ADAM32,ADAM32,ADAM metallopeptidase domain 32,,,matched
ADAM33,ADAM33,ADAM metallopeptidase domain 33,C20orf153,"DKFZp434K0521, dJ964F7.1",matched
ADAMDEC1,ADAMDEC1,ADAM like decysin 1,,M12.219,matched
ADAMTS1,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,,"C3-C5, METH1, KIAA1346",matched
ADAMTS2,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,,"ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI",matched
ADAMTS3,ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3,,"KIAA0366, ADAMTS-4",matched
ADAMTS4,ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4,,"KIAA0688, ADAMTS-2, ADMP-1",matched
ADAMTS5,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,,"ADMP-2, ADAMTS11",matched
ADAMTS6,ADAMTS6,ADAM metallopeptidase with thrombospondin type 1 motif 6,,ADAM-TS6,matched
ADAMTS7,ADAMTS7,ADAM metallopeptidase with thrombospondin type 1 motif 7,,"ADAM-TS7, DKFZp434H204",matched
ADAMTS8,ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8,,"METH2, FLJ41712, ADAM-TS8",matched
ADAMTS9,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9,,KIAA1312,matched
ADAMTS10,ADAMTS10,ADAM metallopeptidase with thrombospondin type 1 motif 10,,ADAM-TS10,matched
ADAMTS12,ADAMTS12,ADAM metallopeptidase with thrombospondin type 1 motif 12,,,matched
ADAMTS13,ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13,C9orf8,"VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322",matched
ADAMTS14,ADAMTS14,ADAM metallopeptidase with thrombospondin type 1 motif 14,,,matched
ADAMTS15,ADAMTS15,ADAM metallopeptidase with thrombospondin type 1 motif 15,,,matched
ADAMTS16,ADAMTS16,ADAM metallopeptidase with thrombospondin type 1 motif 16,,ADAMTS16s,matched
ADAMTS17,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,,"FLJ32769, FLJ16363",matched
ADAMTS18,ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif 18,ADAMTS21,,matched
ADAMTS19,ADAMTS19,ADAM metallopeptidase with thrombospondin type 1 motif 19,,,matched
ADAMTS20,ADAMTS20,ADAM metallopeptidase with thrombospondin type 1 motif 20,,GON-1,matched
ADAMTSL1,ADAMTSL1,ADAMTS like 1,C9orf94,"ADAMTSR1, FLJ35283",matched
ADAMTSL2,ADAMTSL2,ADAMTS like 2,,KIAA0605,matched
ADAMTSL3,ADAMTSL3,ADAMTS like 3,,"KIAA1233, punctin-2",matched
ADAMTSL4,ADAMTSL4,ADAMTS like 4,TSRC1,DKFZP434K1772,matched
ADAMTSL5,ADAMTSL5,ADAMTS like 5,THSD6,,matched
ADAP1,ADAP1,ArfGAP with dual PH domains 1,CENTA1,GCS1L,matched
